Tree,Tree,Geno,Row,Col,Xgal,Csub,Lsp,Chol,Xmon,Pmel,Pads,Pund,Rsp
N1.8,N1.8,,9,7,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,9,9,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,10,2,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,10,4,1,1,0,0,0,0,0,0,0
N1.8,N1.8,,10,6,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,10,8,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,10,10,0,0,0,0,0,0,0,0,0
N2.15,N2.15,,1,1,0,0,0,0,0,0,0,0,0
N2.15,N2.15,,1,3,0,0,0,0,0,0,0,0,0
N2.15,N2.15,,1,5,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,1,7,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,1,9,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,2,2,0,0,0,0,0,0,0,0,0
N2.15,N2.15,,2,4,0,0,0,0,0,0,0,0,0
N2.15,N2.15,,2,6,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,2,8,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,2,10,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,3,1,0,0,0,0,0,0,0,0,0
N2.15,N2.15,,3,3,0,0,0,0,0,0,0,0,0
N2.15,N2.15,,3,5,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,3,7,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,3,9,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,4,2,0,0,0,0,0,0,0,0,0
N2.15,N2.15,,4,4,0,0,0,0,0,0,0,0,0
N2.15,N2.15,,4,6,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,4,8,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,4,10,1,0,0,0,0,1,0,0,0
N2.15,N2.15,,5,1,0,0,0,0,0,0,0,0,0
N2.15,N2.15,,5,3,0,0,0,0,0,0,0,0,0
N2.15,N2.15,,5,5,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,5,7,1,1,0,0,0,0,0,0,0
