"Tree","geno","Quadrat location (cm abvove ground)","Total cover ","Roughness ","X. galericulata","Caloplaca holocarpa","Candelariella subdeflexa","Rhinodina glauca","Lecanora sp.","Phyciella melanchra","Physcia adscendens","Physcia undulata","X. montana","UK Moss #1","Unknown Physcioid","Unknown, totally"
"N5-26",999,"South 80-90",,55.00,,,,,,,,,,,,
"N5-26",999,"North 45-55",0.10,40.00,0.10,,,,,,,,,,,
"N5-26",999,"North 80-90",,35.00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N6-04","H10","South 45-55",0.50,15.00,0.50,0.10,,,,,,,,,,
"N6-04","H10","South 80-90",,20.00,,,,,,,,,,,,
"N6-04","H10","North 45-55",70.00,20.00,50.00,0.10,2.50,0.10,0.10,0.10,,,,,,
"N6-04","H10","North 80-90",35.00,25.00,25.00,0.10,0.10,,,1.00,0.10,,,,,
,,,,,,,,,,,,,,,,
"N6-06",1005,"South 45-55",55.00,70.00,30.00,0.10,,,,1.10,,0.50,,,,
"N6-06",1005,"South 80-90",30.00,60.00,25.00,0.10,0.25,,,,,,,,,
"N6-06",1005,"North 45-55",20.00,65.00,15.00,0.10,,,,,,,,,,
"N6-06",1005,"North 80-90",3.00,35.00,3.50,,,,0.10,,,,,,,
,,,,,,,,,,,,,,,,
"N6-07","HE10","South 45-55",5.00,30.00,6.00,,1.00,,,,,,,,,
"N6-07","HE10","South 80-90",5.00,50.00,5.00,,0.10,,,,,,,,,
"N6-07","HE10","North 45-55",50.00,35.00,30.00,0.10,0.10,0.10,,,0.10,,,,,
"N6-07","HE10","North 80-90",35.00,50.00,30.00,,2.50,,,0.10,,,,,,
,,,,,,,,,,,,,,,,
"N6-09",1008,"South 45-55",10.00,10.00,7.00,,0.10,,,0.25,,,,,,
"N6-09",1008,"South 80-90",0.10,2.00,0.10,,,,,,,,,,,
"N6-09",1008,"North 45-55",3.00,2.00,2.00,,1.00,,,,,,,,,
"N6-09",1008,"North 80-90",2.00,1.00,2.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N6-10",10,"South 45-55",1.00,15.00,1.00,,,,,,,,,,,
"N6-10",10,"South 80-90",2.50,10.00,2.50,,,,,,,,,,,
"N6-10",10,"North 45-55",1.50,1.00,1.50,,,,,,,,,,,
"N6-10",10,"North 80-90",8.00,10.00,9.00,0.10,0.25,,,,,,,,,
,,,,,,,,,,,,,,,,
"N6-12","RM2","South 45-55",1.00,50.00,1.00,,,,,,,,,,,
"N6-12","RM2","South 80-90",0.10,20.00,0.10,,,,,,,,,,,
"N6-12","RM2","North 45-55",60.00,35.00,40.00,2.75,9.00,0.10,0.50,1.75,0.50,,0.25,,,
"N6-12","RM2","North 80-90",3.00,15.00,3.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N6-16","RL6","South 45-55",2.00,35.00,2.00,,,,,,,,,,,
"N6-16","RL6","South 80-90",1.00,25.00,1.00,,,,,,,,,,,
"N6-16","RL6","North 45-55",35.00,75.00,23.00,0.10,10.00,0.10,0.10,0.50,0.10,,1.50,,,
"N6-16","RL6","North 80-90",3.00,45.00,3.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
